Student_ID,Subject,Exam_Score,Homework_Completion_%,Teacher_Comments
S08405,Geography,70,95,Nation process than majority speech room fight final size pressure.
S08921,Science,74,-5,Film lose exactly technology stay short cup indicate game word.
S00448,Geography,103,80%,Yard administration such each shake coach pull inside rather.
S03694,Geography,73,90,Score country senior position Congress increase service become simply human security expect.
S01623,Arabic,109,-5,Half girl budget miss wind medical discuss return nothing road at.
S09616,History,72,-5,Add protect become everybody building school recently five return later.
S00424,Math,49,100%,Particular show authority fire newspaper fire million like nothing operation.
S00714,English,51,-5,  
S02272,Math,55,90,Exactly stay pass nor Republican source truth morning low have party wait.
S07478,History,48,80%,Adult on call manager whether purpose many happy soon mention respond available her.
S02926,English,46,-5,Between pick hair collection certain test leader rule car tell check likely.
S03372,History,51,80%,Question option nothing support increase adult his data ago answer.
S10137,English,81,95,Trade often beyond follow raise magazine.
S10747,Science,88,100%,Thank ask simply require computer social carry own cold myself event.
S11356,Geography,79,80%,  
S00408,History,68,100%,Professor share official rest fear behavior for.
S02490,Geography,69,80%,Agreement sing police wish become would.
S09171,History,60,80%,Commercial around challenge couple laugh kid forget military edge media all thought tax.
S06077,Geography,107,90,Own today program defense design production raise leg responsibility or ground whose.
S07688,Arabic,87,90,Scientist fly newspaper expert produce offer surface country although other how same.
S05455,Math,72,80%,Practice us option organization picture sit its response wide.
S04352,History,50,100%,Before source enjoy office television show be paper lawyer suddenly.
S00828,History,52,80%,Statement or manage once class available clearly far light ability plan.
S05345,History,93,80%,  
S04128,Math,96,100%,Animal debate PM figure home feel above.
S05658,History,96,95,  
S10630,Geography,86,-5,Whom natural enjoy type majority throughout before structure you.
S10651,Math,46,-5,Once stuff many report yard thought by relationship south guess arm business business city.
S08966,Math,93,80%,Available discuss especially whatever most organization record good science hundred sure.
S02106,Geography,84,95,Individual we whatever history though call position president cell contain.
S05679,Science,42,90,Treat personal candidate positive level blue ability organization.
S07981,Science,106,95,  
S02456,History,87,95,Tend force past less you social at happen nearly model.
S04671,English,89,95,Wish magazine yard office writer force blood measure quite process.
S03033,Science,110,95,Character new pull assume public none even goal.
S06111,History,52,100%,Card book effort fear down order item get standard money number.
S01159,Arabic,77,100%,Add run data upon measure leader view ground Republican impact.
S03953,Geography,47,-5,Identify arm minute day soon act word book a.
S09205,English,101,90,Statement security a beat final government herself maintain individual TV law.
S00552,Math,83,80%,Actually us head only increase west yourself paper not stop strong security respond.
S02765,Science,107,80%,Debate require once special network expert.
S10258,English,71,100%,Simply back recently instead eight among not huge offer father cultural.
S11586,English,66,95,Party I send task black system standard free set speak fish realize.
S05487,Arabic,103,100%,Fact upon trade many physical service.
S01051,Math,102,100%,Service too dinner something site quite network senior special hour.
S05055,History,102,80%,Director late any buy pass far myself or which.
S01594,Geography,43,90,Majority nation listen college memory again treatment economic.
S08150,History,91,95,Enjoy choose if two under task pass success letter indeed also born fire.
S02331,Geography,102,80%,Small lay thought friend responsibility clearly tax series parent TV fire.
S10352,Arabic,69,100%,Some like feel me reason although next.
S08285,Science,104,80%,Interview president course particularly data more challenge measure capital surface.
S06290,History,92,95,Instead policy increase ahead security whatever.
S07882,Arabic,43,80%,Each sell PM particularly campaign professor record parent.
S12029,Math,109,100%,Wife join instead special strong happen body should.
S05526,Geography,101,-5,Professor food heavy response how might.
S03620,Geography,99,100%,Chance join quite former lead member soon mouth understand heavy.
S09330,Math,75,95,Child cultural heart effect born whole heavy see former have.
S04013,Arabic,80,90,With loss purpose candidate bring wait.
S07527,English,91,90,Significant ago defense note laugh example above wait ten phone operation.
S03987,Science,93,-5,Laugh drive produce purpose move sit character.
S02459,Geography,66,-5,Behavior staff agency plan experience along leg wait action.
S07797,Math,98,95,Bring school enter ability fast free phone treat wall offer.
S06154,English,45,100%,Show interesting federal probably theory organization budget first way city.
S03747,History,108,90,Tree lead thus run ability matter rest close.
S05352,Science,53,100%,Throw performance long fear seven nation drop age.
S05615,English,51,90,Find provide remain before brother away.
S04493,Science,101,90,Actually look note attack manager again together.
S05116,English,55,80%,Six later religious argue follow focus particularly morning adult morning a career.
S11898,English,53,-5,Strong stage play yes among begin.
S04503,History,59,90,Data officer fear what successful federal.
S00322,History,42,80%,Choose nearly scientist read ever many reach everything side knowledge.
S09581,Geography,101,-5,Product catch human today news traditional Congress cup only well around drop.
S09690,History,43,90,Place magazine billion tell forward group mission decade energy fire big.
S08457,History,59,95,Cultural fact tonight pressure fund three nothing very democratic standard.
S08966,Arabic,49,100%,Pass budget answer teacher success better quickly how enjoy remember tonight hair cold.
S02833,Science,89,90,Nice issue program store support mention none.
S06190,English,68,90,Imagine enough clearly though assume although recent police.
S11783,Math,90,95,  
S03078,Science,93,-5,  
S10240,English,90,-5,Agree two couple experience learn loss.
S02891,Math,75,95,Hospital especially film policy avoid serve activity seat land suggest break painting.
S00617,Math,40,-5,Land wind long board simply hold run cover involve store hear way memory.
S05183,History,92,100%,Hear remain study nation skill bad office experience office although.
S04053,History,52,100%,Election enter behavior assume player enjoy cover action professional skin health expert.
S01850,History,91,100%,Defense stand study at never along measure guess.
S10396,History,92,90,Pm court writer only sport involve everybody behind.
S08298,Arabic,88,100%,Majority fall this manager garden since single cut sure skill.
S00270,Science,46,-5,Spring final break high hit education line evidence relationship discuss hundred.
S10294,Arabic,87,-5,Do fight citizen day environmental wrong far dream.
S05213,English,74,80%,Much agreement court seem conference form blue exactly yet ten.
S04357,Math,110,90,Send training mother style interest serious my any senior.
S02256,History,44,-5,Sport field usually heavy adult ball fish million customer.
S06698,English,99,100%,Easy chair strategy again despite high my then whole detail.
S02506,Arabic,56,95,College property two statement tell language heavy consumer art really community.
S05964,Arabic,90,100%,Expect much particularly court method beat either window memory finally everything view.
S08398,Math,68,80%,Beyond our result executive center where camera dinner cold technology quite animal poor.
S00669,Science,69,80%,Activity memory walk picture imagine local explain morning in world main.
S09365,Science,99,80%,  
S09304,Science,91,80%,Huge item ball kid well face direction another education data song college.
S03805,English,106,80%,Protect she compare author theory first their win article own wear.
S05917,History,83,80%,Vote free international sign number stock way.
S02341,Geography,101,95,Project general model student network go behind.
S03774,Science,87,100%,Soon maintain some resource north design wear fear.
S00817,Science,68,-5,Off bring practice western across model discussion.
S11971,Geography,85,80%,  
S06216,Math,41,95,Course include close lay job decide table eat reveal.
S08697,Arabic,72,95,Far one pattern call nearly discussion learn.
S01352,Math,88,95,Space or inside knowledge test will service.
S05035,Science,103,95,  
S03218,History,63,80%,Culture wish heavy loss treatment stop newspaper push television whether performance.
S05874,Geography,60,100%,Institution clear individual arm big organization worker place magazine sure senior.
S11648,Math,90,100%,While worker prepare economic discussion find.
S11990,Math,104,95,Wait agent relationship chair alone democratic food building defense.
S09603,Geography,62,95,Bank wonder operation above help PM rule.
S04935,Science,77,-5,  
S01360,Geography,46,-5,Report thought term page surface Mr story decision light reason.
S07175,English,70,100%,Care near left traditional hand participant off network third.
S10297,Arabic,43,-5,All example computer seat real feeling best fund.
S04276,Arabic,83,-5,Way southern around for goal care recent agent few brother appear media sign.
S02433,Geography,107,95,  
S02962,Math,76,95,Difference stand environmental bar which indicate according born one agency difference family instead discuss.
S00986,Science,57,100%,Economy left ok appear simply protect lead sit pay institution forget start begin.
S08262,Science,74,-5,  
S03505,Science,40,100%,Seek write model administration future watch letter wide maybe us particular green myself.
S10402,Geography,90,80%,Life point care among energy lawyer education more financial offer.
S03748,Geography,78,90,Time thought newspaper really yet this guess usually show development.
S08297,History,102,80%,Arm late road attorney why manage foreign lose.
S12086,Arabic,106,80%,Certainly international success forget us manager.
S03268,Science,79,90,Fund heavy just campaign difficult evidence.
S06672,English,63,80%,Thousand send fall board piece sister voice agency while tonight.
S02117,Science,82,95,Walk kid process table method so beat.
S00653,Arabic,95,80%,Source window parent fish especially leave.
S08950,Science,100,95,Among office high eight anyone everybody church behind often in subject.
S11062,Arabic,78,100%,  
S06099,Arabic,74,95,Term apply get meet from citizen.
S01467,Math,106,-5,Service fight risk threat skill old almost sometimes big this hundred.
S01603,Science,104,100%,  
S01406,History,59,95,  
S09472,English,60,80%,Last page particularly believe discussion understand morning pay stay.
S09893,English,101,95,Group management work method business around whole find produce including.
S03899,Science,91,100%,Short suddenly and community arm face officer.
S00889,Science,110,100%,Effort hit growth attack science candidate single explain per fill her report week.
S01486,Arabic,68,100%,Him pretty ever call you seat personal forward alone.
S11969,English,66,80%,Short brother modern space cultural art care become list former hot yeah hand.
S06842,Arabic,108,-5,Follow policy exactly speak large box drive top trial direction effect.
S05739,Math,104,80%,Enter individual different view edge value put threat book common future heart.
S02887,Science,66,90,East popular field agent per development.
S03416,Math,44,80%,  
S09256,Math,88,100%,Science section possible receive TV loss market at I coach.
S07306,Arabic,110,-5,Republican describe report fire chair tonight leader no girl friend cultural part thousand.
S07400,Geography,84,90,In base treat move seek born everyone these.
S08428,Science,99,90,  
S08118,Math,42,90,Heavy billion after parent American consider able final.
S06020,Science,98,100%,  
S05842,Science,102,-5,Up half increase raise close feel serious treatment safe.
S03697,Geography,81,80%,Happy choice good product simply herself head worry guess play.
S01134,Math,99,80%,Maintain Democrat federal director bank site could power important.
S03868,Arabic,60,90,Second hard marriage matter vote local take make boy.
S07683,Arabic,77,-5,Energy back brother us sing stuff.
S10962,Geography,92,-5,Phone room short enough wide else miss baby official bring cell citizen want.
S09069,History,47,90,Discuss machine spring sometimes so form build music its whatever third deep information.
S04810,Math,61,80%,Ever market heavy imagine ever simple middle you find speech son.
S01508,History,76,90,Citizen significant rest few process fear door public game.
S11191,Geography,42,90,Quite later door partner ever election laugh.
S03638,History,64,100%,Do pressure audience positive course attorney paper high car whole.
S03062,Geography,67,80%,Agree focus event hour team style maintain old pick cover within eight.
S11946,English,91,90,Nation difficult outside get road range protect agree four road.
S10917,Science,103,95,World very forget rule tonight find according line investment ago collection.
S06997,Arabic,81,95,Town difference need get thank later when.
S04005,Science,55,-5,Board their wonder step stop meet away either yeah.
S07334,History,44,90,Bed cut behavior skill able system individual admit participant develop.
S08598,Science,56,100%,Western small both interest traditional discussion build.
S10346,History,91,80%,Argue tend always enough they board could modern sport represent.
S01277,Arabic,68,100%,  
S11830,History,42,90,Manager in tree respond why system.
S05259,Math,69,95,Yourself them sister voice far top road.
S11796,Geography,78,100%,Yes price consumer partner she community offer side drug town.
S05751,Math,110,-5,Face water continue look discussion economic start campaign.
S06575,English,91,-5,Scientist down fear store official understand whole issue business though not discuss.
S10342,Math,109,-5,Quite point general born relationship dream modern.
S01902,Science,85,80%,  
S07141,Math,93,90,Fine training you or occur who ten government suggest suffer discover.
S01235,History,62,100%,Fight parent onto garden certainly leader beat.
S11008,Science,103,80%,  
S09733,Geography,49,90,Expect hundred he truth phone certain mother sea simply.
S07743,History,84,95,Debate next husband water there will decision include follow technology report forward.
S05738,Math,73,80%,Eye professor once term order hear response treatment mother.
S05241,Geography,83,90,  
S05709,Math,51,80%,Firm consider score compare represent candidate possible agency crime themselves instead admit more.
S09357,English,60,-5,Town near fall shoulder improve yes.
S04141,History,53,-5,Open discuss recent benefit challenge process message.
S03066,Arabic,62,-5,Able language each firm bad born.
S09781,Math,84,90,Sing event head player public degree.
S10105,Science,62,80%,Various debate study thought number former still newspaper difference very Republican describe.
S00058,English,82,-5,Then personal its range someone attorney argue amount can response major moment many.
S09309,Science,62,-5,Evidence pay sea rich finally picture.
S02526,English,64,80%,Trial middle write glass space use debate strong bar.
S05952,Geography,91,-5,Subject scientist suddenly data serious its beat.
S03056,Science,78,95,Issue art day within size show front hear sort.
S01536,Geography,103,95,Fact affect drive book cost finish weight box easy.
S08979,Arabic,52,-5,Key exist present left write place take body follow.
S00482,English,100,95,Threat window film pretty public share north cut former begin people.
S05955,English,66,100%,Nature yourself else house to buy firm entire place guess growth field.
S11145,Arabic,51,90,Among too live best bring already yet international go hundred.
S12020,History,102,95,  
S05691,Science,48,-5,Direction weight natural my agency some several far.
S06621,English,108,-5,Sure rise father whom still range prove south goal huge reality fly political.
S09662,Science,55,90,Wind take talk American final seek owner ask strong challenge as federal name.
S01173,History,102,-5,Room low people candidate seat over appear tonight industry media quite talk.
S08524,Arabic,51,80%,  
S03522,Geography,57,-5,Ago design traditional according hold cup mean no can item.
S00775,History,40,100%,Where again hair partner peace loss above support beat.
S03200,Math,66,-5,  
S09203,English,106,-5,Collection can health kid network development set.
S06389,History,79,100%,Plan officer edge property he leader admit adult result through worry save form.
S02211,History,76,-5,Determine computer yeah article person be like area president.
S09404,Science,102,95,Admit growth little value charge table both according race yourself.
S07005,Geography,109,100%,Today page knowledge compare claim yard focus.
S06965,Math,96,90,Name happy key reduce necessary themselves finish performance.
S05999,Arabic,91,-5,Discussion adult specific even sure rather order president.
S04321,Geography,50,90,Skin begin field fish alone key rest bank allow culture rise win military.
S04599,English,82,100%,Mother trip drive summer news expert none.
S08394,History,58,95,  
S10826,Arabic,79,90,Thought decade right true general design tend continue all perhaps each security.
S08477,Geography,71,95,Personal people feeling many mention bad every.
S00482,Math,80,100%,  
S11415,Science,52,80%,For business Mrs impact project garden become staff according tough I skin media month.
S08488,Math,77,80%,War scientist customer rest feeling doctor stuff discover natural help.
S09117,Science,101,95,Site daughter lot form drop late rest song.
S03675,Science,63,100%,Continue toward rise care small democratic above unit fall.
S01806,Geography,61,80%,Sense activity team case want community who safe road leader white.
S08810,English,58,100%,Everything maybe other wait option deep chair even.
S08379,Arabic,49,-5,  
S06183,Science,48,90,Source man manage available anyone rate fact certain imagine.
S01154,Science,68,80%,Crime fire scientist sign more common affect account.
S11933,Geography,49,100%,Similar instead for develop since job south him culture heavy.
S10263,History,45,-5,Responsibility structure politics son always year professional minute serious but out type.
S05674,Math,77,-5,  
S03701,Math,92,80%,Since lose TV surface common good customer appear.
S09771,English,106,80%,Use policy any box need build natural news action special writer make reach.
S09668,Geography,65,90,Live arrive continue long party act white politics along.
S07259,English,60,90,Growth sea line alone toward million ten throw throughout then.
S07667,Geography,82,95,Goal important city radio special defense beyond current middle range investment.
S02355,Science,97,90,Very customer opportunity American them without risk glass ground.
S07227,Science,41,80%,Those strong imagine senior town represent recognize happy.
S01114,Science,100,100%,  
S08373,Science,51,80%,Alone company always agency office determine difficult most little herself east.
S05999,Arabic,65,90,Pull civil garden pay yet age item tell weight father few crime.
S03779,Math,75,90,President natural concern check expect culture then.
S06156,Science,68,90,  
S00655,Geography,108,90,Form church window sell program crime husband sense.
S07963,History,48,95,Analysis look allow area example organization firm entire high.
S06964,Geography,50,90,Religious painting sing should attention among ten hear defense pretty explain.
S10205,Math,60,100%,Million ten social yes whether course college.
S01113,Geography,90,80%,Agree set medical she the will newspaper wife particular.
S08113,Geography,49,90,  
S01672,Arabic,42,90,Go wonder son because population fire vote law western prove never special.
S11603,English,92,90,Miss box together hard he cost pay.
S05022,English,68,80%,Discuss home writer far sing phone indicate.
S06293,Geography,57,80%,Available often evidence whether individual common.
S09598,Math,89,-5,Visit traditional with free certain know.
S12132,Geography,90,95,Set week figure health adult truth share usually effort year.
S06542,English,80,100%,Both wife reflect garden nor image among man professional treat particular stay.
S11532,English,49,100%,Five pattern improve away husband better tend determine determine drug.
S05202,Math,72,95,Understand world coach certain just source structure institution usually process four.
S11389,Arabic,56,100%,Support week letter soldier glass forward.
S10755,Math,80,80%,Discuss protect key view stand record Mr raise common few.
S04466,History,52,100%,Though only unit building know that fight.
S01516,English,63,100%,Response answer also beat much allow.
S09580,History,82,100%,Reality what something important live win share through lot west particularly.
S04343,History,95,80%,Agreement I traditional science indeed black include we turn total girl natural.
S05456,English,75,90,Leave individual stock bag true its win trade worker from behind reduce century.
S06939,English,53,90,Between less join friend model group gun religious run individual then still manage.
S04108,Math,65,100%,Walk difference against personal leader upon similar force quality.
S03069,Science,81,90,Safe draw energy kid push season including away significant Democrat analysis instead goal.
S05506,Geography,101,80%,Pay career these positive writer somebody side skin everything ball play.
S04887,English,84,100%,Quite poor church source action range training fine structure nice past.
S03779,Arabic,44,100%,Conference impact explain fact try month nature well particular.
S11468,Math,43,-5,Identify network energy all within prepare there hand whether.
S05290,Geography,101,80%,Safe message those bad message season night fight direction maybe.
S01545,Science,56,90,Per ground successful culture green idea particularly hand term cut.
S03635,Arabic,68,80%,Family break figure face culture specific quite prepare short community outside.
S09509,Math,92,90,Build difference research along couple summer yet agency agency.
S06132,History,57,95,Remain minute follow mention memory behind action he animal before.
S01772,Arabic,61,90,  
S02433,Science,99,95,Issue any tonight little look student field from various recent.
S12088,Science,43,95,Scientist focus unit start ball report country seem seven under enough.
S09708,Science,40,95,Happy administration such financial kid me scene defense.
S04657,History,108,100%,Institution tree defense media ahead they together front energy nice.
S03795,Science,51,100%,  
S11245,Arabic,102,80%,This upon some theory society them land quickly.
S06875,History,78,80%,Near full treatment be accept indicate try choice.
S01660,History,48,90,Often son strong foot protect your age doctor into media city there heart.
S01600,Arabic,110,95,  
S10716,English,82,-5,Daughter prepare pay color live response worry small defense face.
S04298,English,89,80%,Any court safe can firm end production.
S07684,Math,45,80%,Born few window best husband record affect card popular.
S06269,Math,63,80%,Total mind future top explain another together size sister herself.
S11472,Geography,99,90,Allow authority detail family box enough western again which stop television PM book they.
S10937,Arabic,49,-5,Cell table simple religious exactly among grow performance establish cause.
S01765,Science,79,-5,Financial ten wrong institution green goal.
S12085,Math,103,95,Control theory door computer good law mother.
S02514,Math,55,95,Create situation respond career pattern hold one push election.
S09989,Arabic,40,95,Pm professor sense apply expert kind official use skill.
S11235,Science,102,-5,Worker charge in type two high own create culture find.
S10396,History,108,80%,Open deal source letter campaign production list language capital wife television law reason.
S06652,Geography,84,95,  
S06432,English,43,-5,  
S06967,English,85,95,Method beat born impact floor share data movie success let.
S01095,History,101,100%,  
S08654,Arabic,41,90,Break city single value become decade friend later let appear many five anything.
S06728,Arabic,87,100%,Development fill produce gun take race article test drive figure.
S06414,History,94,90,Study side event campaign condition red poor serious eight task cold matter.
S00685,Math,80,80%,  
S11776,Arabic,81,-5,Citizen office prepare hot situation discover.
S01323,Math,100,90,Culture from forward Congress former foreign administration second agree minute worry war.
S09464,History,44,95,Toward hospital foot bar defense type human game young human suddenly house.
S03481,History,90,100%,Movie south their although human leader strong put attention certainly tree media east dog.
S03867,Arabic,63,100%,  
S03417,English,96,100%,Source possible red experience any type board.
S04815,History,40,95,Role grow success our edge skin stock plant everybody.
S02039,Math,106,95,Camera lay their establish continue big.
S07950,English,41,80%,Choice seek wide couple movie build least.
S09788,History,88,80%,Science run each suddenly per local knowledge property.
S06307,English,44,95,Particularly professor score painting early standard article food student that.
S09750,Arabic,46,80%,Tough worry theory decade every certain explain pick.
S00941,Geography,108,95,Fill garden every investment right window Republican teacher modern class shoulder.
S11073,Arabic,51,100%,Spring likely end company professional agent position.
S06036,Science,87,-5,Sense blue major check world get.
S06793,Science,66,95,Between civil attorney memory cup painting.
S09343,English,109,-5,Man painting minute interest listen seven action fine but past certainly.
S00191,English,53,80%,Mission necessary sometimes support free lawyer employee dark speech.
S00734,History,97,80%,Cultural perhaps watch option remain tonight agreement film green pressure old.
S10104,Science,88,-5,Chair white certain concern simply law late cut strategy growth almost.
S08950,English,62,95,  
S11667,Arabic,92,90,  
S01824,Geography,93,100%,Enjoy production time operation claim drive material go industry though or control interesting.
S07943,Geography,85,95,Simply western book meeting plant today happy machine smile.
S02466,Math,88,80%,Service east stand onto society live development return trade man.
S02213,English,74,100%,Become hear respond along discover source avoid.
S05210,English,63,-5,  
S02045,English,64,90,Who success clearly gas price production old future central.
S03157,English,103,80%,Doctor certainly eight evidence it beyond as use movement marriage issue remember human.
S01928,Science,87,80%,Result another store nor one require all character real deal paper.
S03747,Science,83,100%,Company hold guy hospital successful determine contain pattern meeting southern television civil.
S11250,Science,107,-5,Opportunity listen program sure wait structure person far.
S05521,Science,65,100%,Inside fast team region knowledge again cut religious.
S03258,Arabic,69,-5,  
S04448,History,101,90,Career process even across sometimes class wait.
S06523,Arabic,75,100%,Six community particularly purpose far senior on arrive agreement year large success issue.
S09220,Arabic,52,100%,Stay around seven work bag either foreign over long land before every.
S08012,History,110,90,Since strategy discover box anyone other safe today your.
S03333,Science,81,-5,Car force thought generation last worker.
S05227,English,77,80%,Road specific American heavy lead wish choose easy big enter election.
S07690,History,67,90,Soon even protect nearly leader billion agree.
S11516,Science,72,-5,Water detail walk threat guess blue assume four stuff reach.
S07887,Geography,104,90,  
S10280,Science,41,80%,Newspaper point assume national toward red gas upon manager store.
S11021,Arabic,70,90,Room past protect security general yet parent our case first generation first watch.
S04360,Geography,75,80%,Several science evening medical shake against rich member threat yourself radio these war fear.
S11929,History,91,100%,Couple voice but accept physical defense work possible message.
S07293,Math,75,100%,Mean son school avoid life blue remain early understand.
S09116,Arabic,59,-5,Join six Congress budget audience player result cost meet weight whether see.
S11032,Math,101,-5,Strong six say son more four into never game until once pick discuss.
S08621,History,47,90,Follow state cover woman western within approach.
S08386,Arabic,88,90,How agree task property upon tell front interview citizen civil.
S03312,English,102,-5,Specific moment arm international claim customer skin fast argue question hard actually recently.
S03859,Geography,95,100%,Improve final fall term sound success me.
S02759,Science,92,-5,Could commercial rule option about board three.
S02582,Math,80,95,Order speech road against close member reduce probably stuff machine.
S06118,Geography,45,100%,Tree green economy officer nothing thus check lose resource middle the.
S03390,Geography,101,-5,  
S04623,Science,54,-5,Hand security letter both wait wife section have care decide person direction.
S02960,Science,85,80%,Another particularly lay city face effect help wait specific with.
S07733,Math,94,100%,Dinner create rise value never west cup bill.
S01344,English,69,90,Food person Mrs save senior season.
S10072,Science,105,90,Individual operation side community night similar growth forward different project.
S01242,Geography,106,100%,Share return cost long letter respond especially really year guess cup since.
S02495,English,60,-5,Land reduce economy serve site wife room best beat range argue.
S02652,Arabic,90,95,Ahead rich most return office deal similar word figure.
S10708,Geography,56,90,Amount training next ever anyone can policy oil serious protect.
S10064,Math,42,100%,Every director magazine purpose five law lot know.
S05360,Arabic,110,80%,Range adult style subject learn heavy property beat mention.
S01520,Math,46,80%,World animal lot sometimes inside thus alone class way teach leg notice mention.
S09941,Science,66,80%,Must particular offer team oil wonder respond water.
S08038,Science,100,100%,North democratic sort itself during country level film feeling agreement entire money.
S10436,Arabic,71,90,Live performance crime buy perform may position themselves entire.
S08977,Geography,45,100%,With indicate center democratic pattern interesting positive fact law specific section.
S10286,English,108,95,Official itself environmental effort cause sign sense.
S00874,Geography,80,95,Professor government meet increase step instead.
S07261,Geography,60,95,  
S03942,Geography,73,100%,Grow young process short shake ten meet yeah first civil.
S05798,Science,53,90,Including character safe a feel same dinner painting west physical strong remain.
S06019,Geography,83,-5,Cut population perhaps sell feel over represent.
S03498,Math,67,95,Key arm herself manage air interest parent win weight education.
S08506,Math,50,95,Around forward garden little arm model feeling debate.
S03402,Geography,77,100%,Indeed response worker project white heavy knowledge quickly.
S10718,Science,88,100%,Industry others organization everybody thought make close PM reach meeting him dream simply.
S05488,English,71,95,When than common partner likely benefit popular letter.
S08171,English,63,-5,Tell spring soon within pass oil.
S00277,Science,51,80%,Author smile to school American yard let.
S02393,Science,67,90,Help many pass lose firm peace program join improve.
S01642,Math,103,-5,Article consider might begin bit work sense western mind act if some different.
S02841,History,109,100%,Central control party environment let audience ball feel figure decide.
S06913,Math,104,80%,Service police coach glass suddenly become police be campaign traditional door citizen.
S01981,English,79,-5,Avoid task fire focus look successful ever social but home.
S01144,Arabic,80,100%,Reach old late game describe interview score none two.
S01480,History,84,80%,Member president economy country understand medical information force bad.
S01331,Arabic,60,100%,Congress find future people teach marriage.
S08968,English,93,-5,  
S06145,Math,64,100%,Usually federal give rise cup visit particular require past listen art thus forget.
S04666,Science,101,80%,General a lead everyone product enough seat soon gas.
S10413,Science,97,100%,  
S10783,Arabic,58,90,World important question effort already five authority tonight.
S03937,Geography,100,95,Myself already onto effect growth soon nice.
S00930,Science,96,-5,Police bar create black must understand maintain.
S02401,History,99,90,She necessary lot talk politics point indeed and.
S04094,English,79,80%,Account purpose season often budget base skill pattern deep detail.
S05629,Science,96,90,Know medical road available would very appear already law movie bed.
S11755,English,92,95,Account citizen themselves hit lead two likely option themselves camera practice society turn.
S08057,English,87,90,Chair physical week report modern there yet television remember agreement on.
S08520,History,85,100%,Cell door answer nation cause term line everyone month.
S10933,Geography,110,100%,View picture relate section my music dream sometimes course ask.
S01269,Arabic,94,-5,Employee only whole just arm truth.
S02557,Science,42,80%,  
S10925,Math,87,100%,Assume use go first family part.
S11834,Arabic,59,80%,Our necessary family through of heavy growth give maybe trial form increase treatment.
S05031,English,99,95,Leader choice girl major create science why affect eye explain.
S12031,Math,94,100%,  
S11150,English,75,-5,Everything open hold why magazine feeling.
S01566,Arabic,68,-5,Trouble way spend attorney piece strategy.
S07433,Arabic,62,90,Join society run analysis upon continue he it.
S04713,Science,65,95,Direction tend agree fly south half fine little trial administration public.
S00914,Math,40,90,Modern increase sure green magazine politics his hour.
S04393,Math,62,80%,Others under hair party mean put also sense five source.
S06212,Arabic,41,90,  
S10796,Geography,104,95,Present fight beat week service bed base either movement factor dog game we.
S08534,History,75,90,Soon six school produce hand moment report learn town majority.
S00458,Arabic,48,-5,Near play debate public yourself past federal both college finish.
S07421,Arabic,45,90,Art responsibility car situation analysis rise tough together push public able gun.
S10857,History,64,90,Interesting to give difference gas wait better southern maybe audience parent about discuss.
S02331,English,40,-5,Whole which option radio animal college environment.
S09450,Arabic,87,90,Across career apply guess physical without according quality project opportunity field.
S02443,History,66,-5,Anything third nation test form success first many term hot role tree fish.
S07850,Science,94,80%,Specific officer where party society to those nearly of.
S11068,Science,76,95,Table end would less region minute force finish station.
S01640,History,52,-5,Consider bed specific help during camera himself happy water reality six mouth call.
S09235,English,108,100%,Wind card wish to watch however fine name spend skill.
S03531,History,86,95,Officer hold left report natural tough.
S06861,Science,53,80%,Stage drive past others center student into more trade industry visit away.
S04655,English,77,80%,Despite government energy agree middle understand effort white candidate our form spring shake.
S06530,Science,73,-5,Both suffer hope although civil daughter top people quickly level matter their.
S05559,English,65,100%,Head prove every democratic country nor themselves.
S07143,English,57,-5,Practice arrive section hotel region popular remain gas effect occur.
S05474,Arabic,61,90,Security indicate play chance agree age.
S00447,Math,44,100%,  
S05513,Arabic,62,80%,Data drug fund production leg produce dinner east foot floor.
S04668,Math,46,95,Common onto data class on I.
S00796,Geography,91,90,Letter magazine she write high age off foreign result.
S07284,English,90,95,Cause participant have despite tax friend energy can own investment.
S00876,History,40,100%,Somebody west book short relationship him.
S01715,Math,71,90,Game offer item movie recognize draw financial notice despite door talk final.
S06411,Geography,107,90,Yard simply message politics site character night.
S09482,Math,76,100%,Few authority because impact movement it.
S04472,Arabic,60,100%,Box clear detail worry will entire drive.
S09129,Math,107,100%,Also school success sort product allow generation reduce cold hard during nation challenge.
S06907,Science,52,100%,Line daughter responsibility minute success major how manager under threat too rest participant.
S02088,Geography,106,100%,Artist home technology finish cause single.
S07530,Geography,43,100%,Good make thousand east certain then ten hope.
S10821,Math,59,-5,Say right exactly cold enjoy test reality old cut again consider Democrat.
S08505,Geography,48,95,And easy recent mother contain side information middle wall member.
S02925,Arabic,84,100%,Knowledge detail teacher form film perhaps recent your.
S09126,Geography,67,-5,Local miss its use matter professional consumer director home treat claim draw.
S03721,History,84,95,Any nothing approach civil hot argue get area compare couple allow case rule.
S03214,History,49,-5,Rule by professor put sort take pressure.
S03480,History,77,80%,Stock decide energy think anyone way.
S01804,Arabic,76,90,Wait go somebody outside goal father leader.
S09634,Geography,110,100%,Arm political together fall rich year hit interview house as early.
S05254,Science,63,100%,Behavior buy institution become three interest quite.
S11502,Science,97,-5,Truth just clear might since into.
S09974,History,53,95,Doctor view plan think letter particularly four sort.
S06251,Arabic,101,90,Involve start federal just miss carry financial race.
S03245,Math,76,80%,Civil raise drop culture form stay thank well address.
S07943,English,77,90,Beyond name their executive future reason president blue mention person determine.
