Student_ID,Subject,Assignment_Name,Due_Date,Status,Grade_Feedback,Guardian_Signature
S01296,Geography,Without you.,2025-03-01,pending,A+, 
S03220,Math,Mission key.,2024-12-12,✅,C,No
S10160,Math,Measure medical.,2024-11-04,not done,B,Yes
S06654,Geography,Play authority.,2025-02-20,pending,D, 
S07654,History,Money let.,2025-02-24, Done ,B-,No
S06339,Science,Blood everyone.,2024-11-20, Done ,F, 
S08931,Arabic,Soldier sound other summer.,2024-10-21,✔,C-, 
S08263,English,Same.,02/21/2025, Done ,B-,Yes
S05692,English,Available per do.,2024-10-12,pending,C,No
S11180,History,Moment evidence enough.,2024-09-11,✅,C,Yes
S04097,History,Idea white small.,2025-02-26,not done,A,Yes
S04136,Arabic,Fund before head.,2024-11-15,not done,F, 
S07800,Math,See must good.,2024-12-20,❌,C-,Yes
S11451,Arabic,Seat score.,2025-02-11,✅,A, 
S07385,Science,Perform it also.,2024-12-26,✔,D,Yes
S02004,History,Source fund.,2024-10-22,not done,A+,No
S10914,History,Admit newspaper.,2025-01-23,❌,D,No
S00283,Science,Analysis college night.,11/27/2024, Done ,A+, 
S00266,Arabic,Couple new matter.,09/10/2024,✅,D,No
S01712,Science,Which would home over.,2024-12-15,not done,D,No
S09188,Arabic,Your against fast.,2024-09-24,pending,B,Yes
S06140,Science,About health.,01/31/2025, Done ,C-,Yes
S00936,English,Garden end down country.,2024-12-07,pending,B-,Yes
S11181,Arabic,May debate.,2025-03-03,✔,A,Yes
S02563,Math,Agree he.,12/11/2024,not done,C,No
S04219,English,Save PM forget.,2025-02-04,✅,C-,No
S11785,Geography,Hard effect.,2024-10-18, Done ,A,Yes
S02078,Science,Mission job long city.,01/08/2025,pending,C, 
S06715,History,The light story space.,11/08/2024,pending,C,No
S09448,Science,Physical a you.,12/20/2024,❌,D, 
S10295,English,Everything word.,12/09/2024,✅,B-,No
S01385,English,Successful card.,2024-09-30,not done,C-,No
S08909,Geography,Board Democrat.,2024-12-31,❌,B-, 
S07785,English,Do involve.,2025-01-01, Done ,C,Yes
S00861,English,Consumer card.,2025-01-28, Done ,C-,No
S05665,Geography,Employee rich each.,2024-11-11,✔,B,No
S00529,Geography,Director nothing operation.,01/25/2025,pending,B-,No
S08774,Science,Year strong.,2024-12-26,pending,D,No
S05875,History,Pay friend along.,2024-10-05,pending,B-, 
S10944,Math,Person subject edge.,12/16/2024,✅,C-,No
S01700,History,Seek.,2025-03-05,not done,C-,Yes
S09162,Science,Long range.,2024-11-17,✅,C-,Yes
S07673,English,Sit hope enough.,12/29/2024,pending,B, 
S12010,Science,End environment them.,2024-12-18,✅,C-,No
S05336,Geography,Prove test.,2024-12-15,pending,A,Yes
S05304,History,Feeling easy.,03/06/2025,❌,C,Yes
S07510,Geography,Player need suddenly.,2025-02-06,✔,B-,No
S09796,History,Common themselves.,2024-11-04, Done ,B-,Yes
S09204,Science,Positive treat sign.,2024-12-21,not done,A, 
S10340,Science,Painting card.,2024-12-21,pending,A+, 
S09632,Geography,Theory owner.,2024-12-01, Done ,C, 
S03031,Geography,Too move rest.,2025-03-03,❌,A+, 
S02366,Science,After church his.,2024-09-22,✔,F,No
S10022,Geography,Instead night lay.,2025-01-07,pending,B-,Yes
S09261,Arabic,Police hotel lawyer.,2025-01-29,pending,F,Yes
S07081,Science,Dog hair.,10/03/2024,pending,B, 
S05904,Arabic,Operation floor.,2025-02-27,❌,A+,No
S07605,History,Teach service attorney.,2025-01-17, Done ,B-, 
S08929,Science,Information many.,2025-02-04,✅,B-, 
S00048,English,Opportunity investment.,2025-03-06,✔,B, 
S11746,English,High several ago.,2024-10-16,❌,D,No
S10832,Arabic,We daughter mention.,11/24/2024,pending,F, 
S00444,Geography,Watch share.,2024-12-04,not done,F, 
S02351,Science,Down write.,02/22/2025,not done,B, 
S03484,Geography,Thus himself.,2025-01-11, Done ,F,Yes
S11619,English,Thought television science author.,2024-12-27,❌,A, 
S10097,Arabic,Usually position daughter.,2025-02-19,not done,F, 
S02810,Math,Head.,2024-10-07, Done ,B,Yes
S04957,Science,Fight choice.,2025-01-20,✅,C,Yes
S00182,Math,Hard finish natural.,2024-12-26, Done ,C,Yes
S09855,English,Worry really day.,2025-02-17,✅,B,No
S10279,Science,Adult chair lawyer.,2025-01-17, Done ,C,No
S09421,English,Institution standard food.,2024-11-04,✅,F, 
S03414,Arabic,Me.,01/16/2025,✔,B,No
S01942,Science,Model pretty.,2024-10-01,not done,C-,No
S10993,Science,Draw likely recently.,2024-11-20,❌,C, 
S03662,History,Painting story.,2024-09-13,pending,C-,No
S07225,Arabic,Southern appear.,2024-10-12,pending,F,Yes
S08075,Geography,Former agent.,2025-02-06,❌,F,No
S04849,Math,Account study water.,2024-11-21, Done ,D,No
S02473,English,From surface.,2025-03-02,✅,F,Yes
S05791,Science,Blue somebody create.,2025-01-25,✔,A,Yes
S11928,Science,Firm hot chance parent.,2024-12-28, Done ,B-,Yes
S07941,Geography,Collection.,2024-10-24, Done ,A, 
S05808,History,Morning use prevent.,09/30/2024, Done ,C, 
S08566,Arabic,Hold back reflect.,2025-01-23,❌,F, 
S04564,Math,Money.,2024-09-30,pending,D,No
S07207,History,Garden on.,2025-02-01,not done,C-, 
S03597,Geography,Ball suffer bag.,2025-02-01,✔,C-,Yes
S11278,Arabic,Daughter stay floor.,01/09/2025,pending,B,Yes
S02897,Math,Rather me miss.,2025-02-24,pending,C-, 
S01736,History,Cultural grow.,2024-12-14,not done,A,No
S02688,Science,Again none.,2024-12-15,✅,D,No
S09086,English,Media quickly beautiful.,01/11/2025, Done ,D,Yes
S02250,Science,Physical cost.,2024-11-03, Done ,C,No
S11809,Arabic,Find blood care.,2024-12-24,✔,D, 
S09416,Science,Possible exactly.,2025-02-01,not done,B, 
S03969,Math,Stuff office.,2025-02-28, Done ,D,No
S03383,English,Play beyond.,12/28/2024,not done,C,No
S07412,English,Amount.,2024-12-16,✔,B-,No
S07970,Arabic,School away wrong.,2024-12-25,pending,A,Yes
S04699,Arabic,Message movie.,2025-02-01,pending,F, 
S10895,Math,Population within free.,2024-10-11,not done,C, 
S02165,Geography,Evidence modern area.,2024-10-01,✔,C-, 
S07052,Geography,Mother measure.,2024-10-08,✅,B, 
S06302,Science,Organization bank.,2025-01-11,pending,C,Yes
S02336,History,Sit lose.,2024-09-21,✔,B-, 
S08450,History,Various close.,11/16/2024,✔,F,Yes
S08200,Geography,Try professor practice.,2024-09-12,✅,C,Yes
S00874,Math,Will Mr woman.,2024-12-27,✅,B-, 
S10632,History,Mother skill.,2025-02-23,not done,C-,Yes
S10274,English,Message present strong stuff.,2024-10-10,❌,B-,No
S03439,Science,Behavior over.,2024-11-16,✅,C,No
S04313,Arabic,But after.,2024-09-23,not done,B-,Yes
S07591,History,Accept treat.,2024-12-15,not done,B,Yes
S09263,History,Seat strong bar.,2024-11-11,pending,D,No
S03661,English,Crime everybody social.,2025-01-23,not done,C, 
S08771,History,Book difficult want.,2024-11-21, Done ,B, 
S09409,English,Movie cost during.,12/28/2024,not done,C,No
S08783,Geography,Society source through hospital.,01/07/2025,pending,F,No
S12012,History,Standard protect.,2024-11-26,pending,B-, 
S00707,Arabic,Think expert.,2024-09-20,✅,D,No
S07537,Science,Worker indicate general.,10/22/2024,pending,C, 
S08953,History,Term.,2025-02-15,❌,A+,No
S07157,Science,Buy every senior.,02/07/2025,✅,A,No
S01959,History,Instead only research.,09/23/2024, Done ,B, 
S10847,Math,Her mouth.,2024-09-16,not done,C-,Yes
S07271,Geography,Specific case fast.,2024-10-16,✔,B-, 
S04441,History,Represent toward large cut.,02/13/2025,✅,D,No
S10117,History,Himself unit whole.,2024-10-11,pending,D,Yes
S04959,Arabic,Director imagine.,2024-12-08,❌,D, 
S05817,English,North right technology.,2025-01-12, Done ,F, 
S04737,Geography,Stand near.,10/21/2024,pending,A,No
S00818,History,Yes important maintain.,2025-01-04,✅,A,No
S01469,History,Teach.,01/08/2025,❌,D,Yes
S01070,Math,Computer little.,2024-11-19,✔,F, 
S07237,Science,Rest life former.,2024-11-13,not done,B,Yes
S07046,Geography,Phone including picture.,2024-10-12,not done,C, 
S04171,English,Shoulder lawyer drug.,2024-12-01,✔,B-,Yes
S00752,History,Truth to sister.,2024-12-02,❌,A+,No
S10966,English,Decision woman late.,10/06/2024, Done ,D,No
S11948,History,Read ago nor better.,2024-11-30,not done,C-,No
S11908,Science,Between ready.,2025-01-06,✔,A+,Yes
S02687,Geography,Discuss suffer.,2025-02-05, Done ,C-,Yes
S05229,English,Join position short why.,2024-12-27, Done ,B-,No
S04849,Geography,Leg important money.,03/06/2025,❌,C,No
S07821,Science,Onto up.,2025-02-10,✅,B-, 
S06599,Science,Where.,2025-01-03, Done ,C-,No
S10008,Math,Car always.,2024-10-11,pending,D, 
S00970,History,Article seat.,02/22/2025,❌,C-,No
S01733,Math,Ask art.,2024-12-23,not done,C,No
S00451,Geography,Address develop police.,09/22/2024,✅,B-,No
S01444,History,Charge hot.,2025-02-11,pending,A,Yes
S09993,Math,Imagine every.,2024-12-03,not done,B-,No
S05227,Geography,Modern watch.,2025-01-23,pending,D,Yes
S07057,Arabic,Clearly mind great.,2025-02-24,not done,C, 
S02522,History,Important professional window.,09/27/2024, Done ,B,Yes
S07423,History,Program chance herself.,2024-12-24,✔,C-,No
S03895,Geography,Movie wonder.,2024-09-10,❌,B-, 
S11197,English,Certain.,2024-10-30,❌,C,No
S11181,Math,Agent capital blood.,2024-10-17,❌,F,No
S05488,Arabic,Summer message field.,2024-12-08, Done ,F, 
S10341,Arabic,Born chair address.,2025-01-18, Done ,B-,No
S11466,Science,Soon position standard.,2024-11-12,not done,A,No
S09393,Geography,Idea will.,2025-03-09,✔,B-,Yes
S06957,History,Require public.,12/07/2024,✔,B-,No
S00231,Science,Environment laugh.,2024-11-06,✔,F,No
S08422,Geography,Several thus.,2024-11-08,✅,B-,No
S06846,Geography,Movement during own.,2024-09-25,pending,C, 
S05547,Arabic,Commercial business person fly.,2024-11-11,not done,B,Yes
S05016,Geography,Between capital happy.,2024-11-28,pending,A,Yes
S08457,History,Stay opportunity sea.,2024-10-04, Done ,A,No
S05411,English,Level behind charge.,01/07/2025,✔,A,Yes
S04066,Math,Accept.,2025-02-12, Done ,A,No
S05095,Arabic,With information.,2024-11-21, Done ,A+, 
S05457,Arabic,Board figure.,2025-02-01,not done,A+,Yes
S09322,Science,Third score movie general.,2024-11-22, Done ,C-, 
S04995,History,Cost space candidate.,09/18/2024,pending,A+,No
S10180,Arabic,Identify discussion.,2024-12-18,❌,D,No
S09672,History,Tree rather.,2024-09-17,not done,F,Yes
S01164,Geography,Production decide allow open.,2025-02-28,✅,B,Yes
S11706,Geography,First long individual.,2024-09-26,✔,F,No
S00056,Science,Exist man.,2025-01-02,not done,C-,No
S03867,Science,Else laugh.,2024-12-13,❌,C, 
S05156,Geography,Front put Mrs simple.,2025-01-14,❌,D,Yes
S10263,Geography,Society.,2024-12-09,❌,C,Yes
S00337,Arabic,Issue.,10/30/2024,✅,B, 
S08300,Arabic,Morning it.,10/26/2024,❌,B-,No
S02415,Science,Resource resource.,2024-12-27,not done,D, 
S09633,History,Traditional admit.,2025-01-20,✔,C,Yes
S06820,History,Name economic place.,01/05/2025,✔,B-,Yes
S04788,English,Step receive remember.,09/20/2024,not done,F,No
S07530,History,Paper chance something.,12/30/2024,✔,F,No
S08239,Science,Those nice.,2025-01-26, Done ,C,No
S00953,Science,Computer television late.,2025-03-08,✅,B-, 
S00888,Math,Hundred with plan doctor.,2024-10-27,❌,A+, 
S10169,Math,Argue.,2024-11-16,pending,C-, 
S02969,Arabic,Product.,2025-02-24,✔,B-,No
S00722,English,Option dog election.,2024-11-09,✔,C,Yes
S09426,English,Money tax.,2024-12-06,✅,C,Yes
S10288,Geography,Current later.,2025-01-06, Done ,A+, 
S01488,Arabic,Culture key.,09/10/2024,pending,C, 
S02195,English,Foreign use various condition.,2025-01-26, Done ,B-, 
S01685,English,Employee attention individual.,2024-10-08, Done ,C-,Yes
S06444,History,Western board worry act.,2025-02-24,✔,C-,No
S08519,English,Treat treatment somebody drug.,2025-01-31, Done ,C-, 
S07407,History,Short send.,2024-11-12,not done,C,No
S10253,Math,Take consider southern.,2024-10-22,pending,C-, 
S06786,Math,Thus establish property.,2025-03-02,pending,B-,No
S00739,Arabic,Lot energy.,2024-12-12,pending,F, 
S08811,History,Left.,12/06/2024,❌,B,Yes
S00727,Math,Meet word.,2025-03-06, Done ,F, 
S06834,Arabic,Stage race concern.,01/02/2025,❌,B,No
S06370,Arabic,Area population campaign.,2024-10-07,❌,B-,Yes
S10863,Math,Court memory.,2025-02-12,not done,C,No
S05991,Geography,Off amount table.,2024-09-23,✔,F,Yes
S07240,Arabic,Street four.,2025-03-07,not done,B,Yes
S09740,Geography,General style officer.,2025-01-25, Done ,A,Yes
S09916,History,Remain everybody road ago.,2025-01-29,✔,D, 
S03091,Math,Second positive wonder.,2024-12-19,not done,C-,No
S09806,Science,Matter matter model.,11/10/2024,pending,F, 
S01858,History,Way or surface.,2025-03-04,not done,A+, 
S01654,Geography,Already save they consider.,2025-01-07,pending,C,Yes
S10034,History,Cause.,12/29/2024,pending,A+,Yes
S01520,Geography,Mother over reveal system.,2024-09-30,not done,F, 
S00781,Arabic,Race until manage.,02/05/2025,❌,A,Yes
S06073,English,Pick recently.,2025-02-01,❌,B-,Yes
S10175,Math,Throughout well health.,2024-10-29,✅,F, 
S06888,Science,View career.,2024-09-25, Done ,C,No
S12061,Science,Majority fast set.,2024-11-04,❌,A,Yes
S11827,Arabic,Line exactly today.,01/25/2025, Done ,A,No
S02229,History,Break camera economy.,2024-11-16,pending,C, 
S08949,Geography,Business.,10/30/2024, Done ,D,Yes
S11637,Arabic,High decision.,2025-01-29,not done,D,Yes
S00011,Math,Fear.,2025-02-18,❌,B-,No
S02981,Math,Start conference.,2024-12-25,pending,C-,Yes
S11410,English,Society white.,2025-02-17,❌,A, 
S10106,Math,Factor space.,01/03/2025,✅,B, 
S05768,Arabic,Soldier nothing.,2024-09-20,✔,D,Yes
S00232,History,Believe range drive avoid.,2024-11-27,✔,F, 
S04471,Math,Animal although.,2024-10-12, Done ,F,Yes
S11281,History,Now particularly suggest suddenly.,2024-09-11,pending,D, 
S07194,Arabic,Think radio.,2025-01-08,❌,B, 
S06255,Science,How treat.,2024-09-23,❌,C-,No
S01319,Geography,Find radio.,2024-11-13,❌,A+, 
S07252,Arabic,Sister that.,2024-11-29,not done,A+, 
S04191,Math,Travel sound billion.,2024-09-26,pending,B,Yes
S01224,History,Step especially.,02/16/2025,not done,F, 
S07486,Geography,Hope second.,2025-01-26,✔,A+,No
S02669,Geography,Career wife bit.,2024-10-19,not done,F, 
S08604,Science,Yes hold.,2025-02-22,not done,A+, 
S00847,History,Opportunity century trip.,2025-01-10, Done ,F,No
S10090,History,Response free.,2024-11-22, Done ,A+,Yes
S01713,English,Live wonder after shoulder.,2024-11-17,pending,D,Yes
S07357,English,Draw player.,2024-10-31,pending,C-, 
S02361,Geography,Certainly reason Republican evening.,2024-10-20, Done ,A+,Yes
S04484,Geography,Base in together.,2024-11-13,❌,B,Yes
S11621,Arabic,If.,02/11/2025,not done,A+,Yes
S07269,History,Color bed.,2024-09-16,✔,B-, 
S08843,Math,Conference change require.,2025-02-22,❌,D,No
S02920,History,Who maintain.,2024-11-14, Done ,D,No
S00317,Math,Parent note.,2024-10-30,not done,D,No
S09735,Math,Culture.,2025-01-14,✅,C,No
S08802,Geography,Former if since result.,2025-01-31,not done,C,Yes
S03030,History,Follow throughout success.,2024-09-17, Done ,A, 
S06466,History,Three among.,2024-09-22,✔,A+,Yes
S02202,English,World.,2025-01-18, Done ,D,No
S11921,Arabic,Tonight want.,2024-09-28,❌,A+,Yes
S02814,Science,Health should.,2024-11-26,not done,B-,Yes
S08810,English,Gun field marriage.,2024-10-09,✔,F, 
S02807,English,Participant cost.,2024-10-22,not done,D,Yes
S09843,Math,Lead article happy.,10/22/2024,pending,D,No
S01255,English,City impact respond.,2024-12-07,❌,C-, 
S01080,English,Fight doctor.,2025-01-11,✅,C,No
S03126,English,Water computer.,11/24/2024,✅,D,Yes
S08529,Arabic,Instead fall.,2025-02-13, Done ,D,Yes
S08230,History,Some investment.,2024-10-27,✔,B,Yes
S08321,Math,Tv sort man.,2024-09-12,not done,C-,No
S00265,Arabic,Lose some.,2024-10-02,❌,C-,Yes
S11736,Arabic,Occur across.,2024-12-14,pending,B-,Yes
S02331,History,Cold.,2024-10-14,✔,A+, 
S00606,Math,Air prepare sure.,2025-02-13,✔,B-,No
S04493,Geography,Main score forward.,10/13/2024,✔,B,Yes
S06593,English,After not.,2025-02-12, Done ,C-, 
S11367,Math,Eight family.,2025-02-06,✔,A+,No
S05976,English,Scene face.,2024-10-25, Done ,C-, 
S02680,Geography,Authority all.,01/14/2025,pending,B,No
S10684,Science,Almost.,2024-11-07,✔,F, 
S11268,History,Opportunity.,2024-10-08,not done,B, 
S00053,Math,Check outside.,2024-12-03,pending,F,No
S00363,Arabic,Interview our but share.,2025-02-07,❌,C-, 
S00062,Science,Her theory.,02/11/2025,✔,B-, 
S06811,Arabic,Value while he.,2024-11-10,✅,A, 
S01701,Geography,Television example.,2025-01-08,✅,F, 
S03566,History,Commercial sign part.,2024-12-10,not done,A+,No
S01974,English,Find.,2025-01-18, Done ,A,Yes
S00807,English,Maintain art my.,10/15/2024, Done ,A+, 
S05916,History,Ground item argue.,2025-01-19,❌,A,Yes
S04130,Geography,Late himself view.,2024-10-04,pending,A, 
S10894,Science,Present yeah.,2024-11-18,pending,C-,Yes
S01331,Math,Easy stuff yeah.,2024-11-18,pending,C,No
S04990,Geography,Well test.,2024-12-14,✔,F, 
S01061,Geography,Each institution.,2024-12-18, Done ,C,Yes
S05360,Math,Become seven over.,2024-09-25,not done,B, 
S11847,Arabic,But who.,2024-09-14,✔,D,Yes
S10669,History,Suffer ability.,2025-01-28,pending,B,No
S01561,History,Know officer rule.,2024-11-14, Done ,D,No
S06189,Math,Now can.,12/15/2024, Done ,C-,No
S06717,English,Former country.,2024-12-14, Done ,C, 
S11448,Math,Much unit commercial.,2024-12-27,✔,C,No
S09652,History,Performance total carry.,2025-02-24,pending,B, 
S02852,Arabic,Total use.,2025-01-22,❌,B,Yes
S06059,English,Bank.,2024-11-06,✅,F,Yes
S09964,English,Move interest.,2024-12-20,pending,A+,No
S09728,History,Imagine account individual different.,2024-09-16,not done,F,No
S04887,Math,Adult those.,2025-01-28,not done,C-, 
S02143,Math,Difference record government.,2024-12-21,pending,A,Yes
S10565,Geography,What professor.,2024-11-22, Done ,A+,Yes
S11796,English,Turn carry record year.,2025-02-25, Done ,F,Yes
S05913,History,Perhaps its risk.,11/20/2024,✔,D,Yes
S06279,English,Collection short could.,2025-02-09,not done,B-,Yes
S03491,Geography,Live capital.,2025-01-12,✔,C,No
S02430,History,Life exist fly.,2024-11-05,❌,B,Yes
S07377,English,Eye attack boy.,2024-09-24,❌,F,No
S03426,Math,Down different community.,2024-12-11, Done ,A+,No
S09577,History,Beautiful pretty performance.,02/13/2025,not done,C-,Yes
S07195,Science,Reach surface.,2025-02-12,✅,B,Yes
S10820,Math,Day food even natural.,2024-09-21,❌,D, 
S08545,Geography,Produce clearly instead.,2024-10-16,✅,C-,Yes
S00438,Science,Describe news measure bank.,2024-12-23,pending,C-,No
S00407,Arabic,Indicate present.,2024-11-06,❌,F, 
S09908,English,Plan.,12/20/2024,pending,C-,No
S08045,Arabic,City within pattern wide.,2024-09-15,not done,B-,No
S04731,History,Real note small.,2024-11-19,✔,B-, 
S01383,Geography,Though.,2024-09-14,not done,C-,Yes
S03428,Science,Upon send plant.,01/14/2025,✔,A+, 
S02578,Arabic,List bed like couple.,09/18/2024,❌,A,Yes
S11358,Arabic,Box.,2025-01-03,pending,B,Yes
S08500,Science,Hospital himself future.,2024-09-16, Done ,A,No
S01339,Geography,Image interview area.,2024-11-22,✅,F,No
S00475,Math,Sort newspaper reach.,2025-01-27,pending,C-,No
S10654,Arabic,None and.,09/08/2024,pending,C-, 
S10032,Science,White walk small.,2025-01-06,❌,B-,No
S05371,Arabic,Explain.,2025-01-25,not done,A,Yes
S07223,Science,Wind.,2024-12-22,pending,B-, 
S11053,Geography,Strong baby.,2024-09-21, Done ,B,Yes
S05951,Arabic,Someone per return.,2024-09-21,pending,F,No
S10605,Geography,Key than chair approach.,2025-01-05,✅,C,Yes
S07715,Math,Charge step.,2024-10-19,✔,F,No
S01097,English,Woman population give.,2024-12-21,not done,A,No
S04435,Math,Understand manage why.,2025-03-07,✔,C, 
S00933,Math,Audience card raise.,02/09/2025,pending,D,No
S06694,Geography,Discussion just two.,2024-11-19,❌,C-,No
S02878,English,War owner read.,2025-02-09,pending,B-,No
S00930,Geography,Money time.,2024-12-17,✅,A,Yes
S08862,Arabic,Along rock or.,2024-12-11,pending,B-, 
S01566,History,Safe coach often.,2025-02-15,✔,A, 
S06276,English,White peace.,2024-11-22,pending,D,Yes
S09006,History,Because exactly dinner.,2025-01-17,✔,D,Yes
S03012,English,Then size animal.,2024-09-17, Done ,B,No
S02780,English,Security them.,2024-09-26,✔,A+,No
S09341,Science,Keep subject.,2024-11-17,✔,F, 
S06726,English,Information value.,2024-12-06,✅,C-, 
S11473,Arabic,Sing response success.,2024-11-14,✅,B,No
S01658,Math,Notice on.,12/12/2024, Done ,B, 
S04632,Arabic,Thought down.,2024-09-08,✅,C,Yes
S10049,Math,Accept that parent.,2024-11-19,✔,C-,Yes
S06148,Geography,Nearly prove look.,2024-09-22,❌,D,Yes
S02462,Geography,Commercial expert win.,2025-02-10,✔,C, 
S04743,English,Student see.,11/03/2024,❌,B, 
S11110,English,It sure.,2024-12-01,pending,C,No
S00037,English,Together.,03/07/2025,✔,A+, 
S05289,Science,Near increase.,2024-12-16, Done ,B-, 
S04931,Science,These drug.,2024-12-04,✔,F, 
S04830,Arabic,Man plan.,2024-12-28,not done,D,No
S06975,History,Speak ground commercial.,01/04/2025,not done,A+,Yes
S11156,Math,Forward must ok.,2025-02-12,❌,A,No
S10639,Math,Per among.,2024-09-29, Done ,B-,Yes
S10553,History,Offer movie.,2024-11-29,✅,D,No
S03839,History,Help try raise.,2024-10-27,not done,C-,Yes
S00490,Geography,Send tell.,2024-09-11,❌,B,No
S08082,English,Ahead meet.,03/04/2025,not done,F,Yes
S04612,Geography,Attack consumer price itself.,2025-03-07,✔,C, 
S08333,Math,Fact it work customer.,2024-09-09, Done ,B-, 
S11724,English,Bad into edge.,01/22/2025, Done ,D,No
S01130,Arabic,Nation world day.,2024-12-06,not done,B-,Yes
S09498,Geography,Third energy manage.,2024-09-14,pending,F, 
S02589,Arabic,Stop less actually.,01/06/2025,pending,D,Yes
S07261,English,Growth floor.,2025-01-18,not done,D,No
S05688,Geography,Resource we body reason.,2024-11-25, Done ,F, 
S07394,English,Current main local against.,10/27/2024,❌,A, 
S03960,History,Interview lawyer.,2025-01-07, Done ,A+,Yes
S00176,Arabic,Hope land.,2024-10-26,✔,A+,No
S05580,English,Sure authority.,2025-01-16,❌,C,Yes
S08197,Science,Performance three.,2024-11-13,pending,D, 
S00799,Science,Hour friend area.,2025-01-24,✅,D,No
S05033,Arabic,On.,01/18/2025,✔,C-,No
S02846,Science,Also interest.,10/16/2024,✅,A,No
S01288,English,Design few.,2025-01-16,✅,F,No
S05611,History,Discussion once serve.,2024-12-05,pending,A+,No
S01268,Geography,Increase senior child.,2024-11-06, Done ,A+, 
S07619,Science,Option cover forward value.,2025-01-04,❌,B, 
S03187,English,Number official girl.,2025-02-28,❌,F, 
S00196,Geography,Not.,2024-09-17,✅,B-,Yes
S10879,Geography,Lay example report.,2025-02-02,not done,C-,No
S01568,Science,Book month price.,2025-01-18, Done ,F,Yes
S06135,Arabic,Herself give actually.,2025-01-28,not done,B,Yes
S02292,Science,Teach believe range Mrs.,02/20/2025, Done ,F,Yes
S00927,English,Hit financial.,2024-09-24,❌,C-,Yes
S06421,Geography,War nothing.,01/17/2025,pending,C-, 
S00303,Science,Growth public first.,09/20/2024,✔,F,No
S10320,Geography,Wear.,2024-11-09,✅,A+,Yes
S11219,History,Enter realize low.,2025-01-24,❌,F,Yes
S06061,Geography,Want why.,2024-11-09,❌,A, 
S12015,History,Protect oil boy.,2024-11-01, Done ,B-,Yes
S11205,Arabic,Line note.,2024-10-30,✔,B,No
S10459,Arabic,Serious find.,2025-01-25,✅,F,Yes
S07257,English,Record watch game enter.,2024-12-11,❌,C, 
S09028,Geography,Describe rate.,09/24/2024,✅,F, 
S11565,Arabic,Huge your.,2025-02-01,❌,D,No
S09437,Math,More television.,2024-11-10,✔,D, 
S06695,History,Such summer.,2024-09-30,not done,B-,Yes
S07767,Arabic,Nearly street.,2024-12-08,not done,A,No
S05436,Arabic,Impact customer.,2024-10-22,✔,B-, 
S11380,Science,Tax.,2024-10-08,not done,C-,Yes
S01735,Science,Have every.,2024-10-10,✔,F,No
S11327,Geography,Hope than.,09/20/2024,✅,B-, 
S04491,Geography,Baby arrive knowledge particular.,2025-01-24,❌,C, 
S08764,Science,Live answer worry.,2024-11-21,❌,C-,Yes
S00386,Science,Particular alone.,10/25/2024, Done ,D,No
S01664,Arabic,Ago.,11/25/2024,✅,C-, 
S02019,English,Those mean.,2024-10-02,not done,B,No
S06687,English,Stock coach improve.,2025-01-11,✔,B, 
S02265,Math,List chance sense.,2025-03-04,pending,A,No
S11144,Math,Although shake.,11/14/2024,❌,B-,Yes
S04823,History,Third economy.,2024-11-24,pending,B,No
S09853,Science,Resource actually.,2024-09-22,✔,B, 
S01224,Arabic,Throw great much.,2024-12-28, Done ,C-,Yes
S08632,English,They some.,01/04/2025,pending,C, 
S00473,English,Gun mean wear adult.,2024-09-15,✅,C-,Yes
S10136,History,President cost.,2024-10-22,✅,A, 
S11890,Arabic,Quickly specific professor.,2025-02-11,not done,D,Yes
S04804,English,Firm never.,2024-11-20,pending,A+,Yes
S11644,Arabic,Training short job.,2024-10-14,❌,B,No
S06822,Geography,Policy approach.,2024-10-23,❌,D,Yes
S02577,Geography,Organization including ok.,2024-10-11,❌,C-,No
S03702,Math,Mention course political.,2024-12-22,✔,A+,Yes
S03298,Science,Check course.,2024-09-15,pending,B-, 
S08557,Geography,Gas work.,2024-10-19,pending,A+,Yes
S09109,Geography,Democratic.,2024-12-08,pending,A+, 
S05244,History,Impact score.,2025-01-24, Done ,B,No
S07305,English,Glass.,2025-02-27,pending,A+,Yes
S02456,English,Around education.,2025-03-07, Done ,B,No
S00424,English,Hospital blood sit.,2024-11-14,pending,B,Yes
S07844,Geography,Determine control store.,2024-09-27,not done,C-, 
S01501,History,Off.,03/02/2025,❌,F, 
S03335,Math,Together fish.,2025-01-18,✅,B,No
S08854,Math,Who school shake.,2025-01-19,not done,A+, 
S01184,Geography,Its hair worker.,02/04/2025,❌,F, 
S10896,History,After.,2024-11-06, Done ,C,No
S00142,History,Hit yard.,2024-11-18,✅,C-,No
S03601,Math,Others teach.,12/25/2024,❌,F, 
S09401,History,Up.,2024-12-17,❌,C,No
S02808,Science,Establish perhaps.,2025-01-19,not done,C,Yes
S00043,English,At.,2024-10-18,✅,B-, 
S06376,Geography,Rate everyone set.,2024-09-26,✅,C-, 
S04892,Arabic,Behavior me skin.,09/19/2024,❌,C,No
S03476,Science,True small.,2024-11-28,✅,C-, 
S03584,Geography,Difference affect treat.,2024-09-08, Done ,A,Yes
S01119,Geography,Much that.,2024-11-06,pending,B-, 
S07223,History,Bar computer major.,2024-10-08,not done,A,Yes
S05049,English,Four response employee.,2025-01-20,✔,C-, 
S06532,Geography,Oil mean.,2025-01-22,❌,B-,No
S06515,English,Factor same ok.,2025-02-14,❌,C-,Yes
